cve_scenario|num_year|pct_rate
42|30|0.059740537
43|1|0.04509729
43|2|0.05066395
43|3|0.054591386
43|4|0.054410654
43|5|0.051387738
43|6|0.042612535
43|7|0.038006418
43|8|0.032538467
43|9|0.030467599
43|10|0.033224475
43|11|0.02584284
43|12|0.019732393
43|13|0.018097144
43|14|0.018837891
43|15|0.020379789
43|16|0.030539674
43|17|0.029484183
43|18|0.027503555
43|19|0.032956143
43|20|0.025024629
43|21|0.034486307
43|22|0.035122091
43|23|0.036512339
43|24|0.034767045
43|25|0.032891098
43|26|0.036459398
43|27|0.038834889
43|28|0.035536218
43|29|0.041212078
43|30|0.037016356
44|1|0.04509729
44|2|0.052504665
44|3|0.056676063
44|4|0.059559364
44|5|0.064908419
44|6|0.063075444
44|7|0.06155106
44|8|0.065566901
44|9|0.059942316
44|10|0.050510203
44|11|0.042298065
44|12|0.033353572
44|13|0.028787247
44|14|0.034285949
44|15|0.039921675
44|16|0.059915548
44|17|0.066811141
44|18|0.070758266
44|19|0.103684718
44|20|0.090567712
44|21|0.086885481
44|22|0.078532099
44|23|0.076745539
44|24|0.061235807
44|25|0.048138798
44|26|0.033199063
44|27|0.03021282
44|28|0.028486024
44|29|0.033289531
44|30|0.041815221
45|1|0.04509729
45|2|0.048587264
45|3|0.047577838
45|4|0.037494012
45|5|0.029649575
45|6|0.043057775
45|7|0.052507743
45|8|0.063520907
45|9|0.074770734
45|10|0.074717863
45|11|0.082459211
45|12|0.064620526
45|13|0.053300927
45|14|0.047429434
45|15|0.037059126
45|16|0.04035512
45|17|0.033890374
45|18|0.038275406
45|19|0.038864447
45|20|0.033051681
45|21|0.026137597
45|22|0.035352038
45|23|0.043502089
45|24|0.052043053
45|25|0.047355747
45|26|0.053602682
45|27|0.049771348
45|28|0.063470375
45|29|0.080253619
45|30|0.072383478
46|1|0.04509729
46|2|0.050720327
46|3|0.059449226
46|4|0.053185984
46|5|0.045968471
46|6|0.045686218
46|7|0.055918601
46|8|0.084171366
46|9|0.078759547
46|10|0.081019758
46|11|0.08618084
46|12|0.100194357
46|13|0.092046945
46|14|0.081668641
46|15|0.096265539
46|16|0.103185757
46|17|0.107720465
46|18|0.116940377
46|19|0.102330956
46|20|0.086589421
46|21|0.095752556
46|22|0.094216418
46|23|0.129089007
46|24|0.110411191
46|25|0.098751542
46|26|0.10112283
46|27|0.099237966
46|28|0.115613363
46|29|0.11636341
46|30|0.126897956
47|1|0.04509729
47|2|0.056490012
47|3|0.050962252
47|4|0.047121401
47|5|0.043947519
47|6|0.042093889
47|7|0.030989437
47|8|0.036929799
47|9|0.042508387
47|10|0.038596402
47|11|0.041448824
47|12|0.039038746
47|13|0.046372487
47|14|0.045974607
47|15|0.044973595
47|16|0.044341947
47|17|0.034815873
47|18|0.040532604
47|19|0.040924346
47|20|0.035993176
47|21|0.031386487
47|22|0.030896024
47|23|0.045803819
47|24|0.051330318
47|25|0.054236098
47|26|0.073383026
47|27|0.063889102
47|28|0.05490257
47|29|0.047034423
47|30|0.051346724
48|1|0.04509729
48|2|0.038483284
48|3|0.045583961
48|4|0.047860346
48|5|0.050823859
48|6|0.053095676
48|7|0.044795733
48|8|0.049293947
48|9|0.046374533
48|10|0.041393717
48|11|0.046274289
48|12|0.043991454
48|13|0.060312981
48|14|0.061586091
48|15|0.056720265
48|16|0.070291633
48|17|0.062394026
48|18|0.058986094
48|19|0.071323327
48|20|0.063095034
