Date, Open, High, Low, Close, Volume
02/26/13, 361.60, 368.11, 357.00, 358.00, 6098.25
02/25/13, 345.80, 366.40, 342.20, 366.00, 5114.4
02/22/13, 353.40, 354.742, 347.40, 347.40, 6542.7
02/21/13, 351.80, 361.80, 350.20, 358.00, 8620.95
02/20/13, 344.00, 350.40, 339.80, 350.40, 2301.75
02/19/13, 348.40, 350.60, 343.40, 344.00, 1613.5
02/15/13, 351.00, 356.12, 351.00, 352.40, 2465.2
02/14/13, 348.80, 352.88, 348.80, 352.20, 1505.75
02/13/13, 347.20, 350.80, 344.80, 348.60, 830
02/12/13, 354.00, 354.02, 347.80, 348.20, 2528
02/11/13, 358.00, 358.00, 354.72, 356.00, 1714.4
02/08/13, 366.60, 366.60, 357.40, 358.80, 2305.3
02/07/13, 363.60, 370.60, 361.20, 367.60, 1237.85
02/06/13, 370.20, 371.80, 363.60, 364.20, 1618.1
02/05/13, 361.20, 368.00, 360.20, 366.40, 2100.7
02/04/13, 363.60, 367.20, 360.40, 363.80, 3127.2
02/01/13, 366.80, 366.80, 358.80, 361.40, 5857.7
01/31/13, 363.40, 370.528, 363.40, 368.20, 8300.35
01/30/13, 354.00, 363.80, 354.00, 361.20, 6642.35
01/29/13, 355.00, 356.00, 352.60, 352.80, 2179.35
01/28/13, 356.20, 360.00, 352.82, 354.20, 1969.2
01/25/13, 361.56, 362.40, 357.20, 357.20, 4496.75
01/24/13, 365.00, 367.80, 361.80, 365.80, 2021.95
01/23/13, 366.00, 368.468, 364.80, 366.80, 1122.5
01/22/13, 372.80, 372.80, 366.00, 366.00, 1871.15
01/18/13, 376.20, 378.20, 371.60, 372.80, 2382.25
01/17/13, 378.80, 378.80, 375.00, 378.00, 2601.55
01/16/13, 381.40, 384.80, 380.60, 380.80, 2661.25
01/15/13, 385.80, 388.00, 378.20, 380.602, 2503.15
01/14/13, 388.00, 388.264, 384.80, 385.80, 1287.2
01/11/13, 388.60, 392.60, 387.00, 388.60, 1015.75
01/10/13, 383.00, 392.00, 383.00, 388.20, 1117.45
01/09/13, 390.00, 392.40, 387.60, 389.00, 1657.15
01/08/13, 390.20, 395.60, 389.20, 392.40, 1041.45
01/07/13, 393.40, 395.40, 389.476, 390.60, 1197.25
01/04/13, 397.00, 399.00, 392.40, 393.40, 13000.5
01/03/13, 398.20, 400.40, 393.00, 398.40, 3492.2
01/02/13, 391.20, 405.80, 391.20, 398.40, 6956.7
12/31/12, 428.80, 432.00, 413.60, 414.072, 7437.65
12/28/12, 423.20, 428.40, 415.402, 426.60, 2665.35
12/27/12, 422.00, 433.00, 417.36, 419.40, 4517.15
12/26/12, 423.60, 427.198, 417.40, 424.80, 1696.95
12/24/12, 417.00, 424.00, 414.20, 417.20, 2007.9
12/21/12, 432.00, 432.60, 416.00, 420.80, 7405.55
12/20/12, 434.20, 435.40, 417.40, 417.60, 6710.05
12/19/12, 427.80, 435.40, 427.40, 435.40, 3136.1
12/18/12, 442.20, 445.80, 433.60, 433.60, 4413.45
12/17/12, 448.20, 453.60, 446.60, 447.00, 2604.65
