Date, Open, High, Low, Close, Volume
09/06/02, 89.75, 90.57, 89.347, 90.00, 38622898
09/05/02, 88.49, 89.43, 87.50, 88.78, 67318305
09/04/02, 88.615, 90.25, 88.06, 89.54, 51099500
09/03/02, 90.735, 91.00, 88.15, 88.28, 76682203
08/30/02, 91.686, 93.39, 91.40, 91.78, 30370900
08/29/02, 91.27, 93.058, 90.81, 92.14, 42967102
08/28/02, 93.287, 93.49, 91.80, 92.10, 38973801
08/27/02, 95.70, 96.25, 93.505, 94.16, 35340699
08/26/02, 94.91, 95.64, 93.50, 95.26, 33831102
08/23/02, 96.017, 96.15, 94.15, 94.60, 33717500
08/22/02, 95.493, 97.15, 95.07, 96.68, 38403801
08/21/02, 95.0625, 95.78, 93.57, 95.75, 39632602
08/20/02, 94.822, 95.40, 93.62, 94.39, 30512100
08/19/02, 93.46, 95.75, 93.10, 95.40, 33672301
08/16/02, 92.82, 94.08, 92.00, 93.22, 36517301
08/15/02, 92.847, 93.99, 92.20, 93.50, 45552102
08/14/02, 89.02, 92.63, 88.02, 92.22, 57431898
08/13/02, 90.15, 91.66, 88.65, 88.97, 49637102
08/12/02, 89.997, 91.27, 89.55, 90.62, 25855699
08/09/02, 90.10, 91.94, 89.35, 91.29, 41880398
08/08/02, 88.423, 91.10, 80.54, 90.95, 48373602
08/07/02, 87.879, 88.50, 85.77, 88.10, 43696500
08/06/02, 85.233, 87.90, 85.05, 86.59, 65087699
08/05/02, 86.498, 86.933, 83.55, 83.77, 47196398
08/02/02, 88.50, 88.917, 85.62, 86.79, 51775699
08/01/02, 90.88, 91.35, 88.33, 88.78, 66576297
07/31/02, 90.497, 91.55, 89.25, 91.16, 44707699
07/30/02, 89.323, 91.40, 88.72, 90.94, 47559000
07/29/02, 87.508, 90.34, 87.30, 89.77, 53496301
07/26/02, 84.653, 85.93, 83.80, 85.60, 41210500
07/25/02, 84.275, 85.85, 81.60, 84.00, 87194906
07/24/02, 78.137, 85.12, 77.68, 84.72, 106946000
07/23/02, 82.55, 83.24, 79.75, 79.95, 74499602
07/22/02, 84.107, 85.913, 81.45, 82.20, 78249398
07/19/02, 86.767, 87.553, 84.30, 84.71, 77690602
07/18/02, 90.7031, 91.10, 87.75, 87.80, 32701801
07/17/02, 92.46, 93.30, 89.75, 90.74, 48996102
07/16/02, 91.127, 92.38, 89.87, 90.56, 53282398
07/15/02, 91.643, 92.40, 87.89, 92.34, 77320203
07/12/02, 93.333, 93.89, 91.52, 91.85, 39026102
07/11/02, 91.763, 93.35, 90.32, 92.87, 59532898
07/10/02, 96.00, 96.07, 92.04, 92.12, 50525398
07/09/02, 97.73, 98.34, 95.01, 95.60, 28623301
07/08/02, 98.98, 99.70, 97.56, 98.07, 19120900
07/05/02, 96.78, 99.53, 96.668, 99.31, 19014801
07/03/02, 94.62, 95.84, 93.727, 95.51, 30566900
07/02/02, 96.869, 97.20, 94.77, 94.97, 34218398
07/01/02, 99.187, 99.80, 96.89, 97.03, 20282900
06/28/02, 99.243, 100.50, 98.88, 98.96, 28184301
06/27/02, 98.50, 99.49, 96.57, 99.43, 31728801
06/26/02, 95.20, 98.15, 95.195, 97.72, 37918500
06/25/02, 100.303, 100.89, 97.54, 97.56, 33389199
06/24/02, 98.61, 100.69, 97.25, 99.80, 37173301
06/21/02, 100.47, 100.93, 98.687, 99.28, 31190699
06/20/02, 102.265, 103.05, 100.96, 101.21, 25692000
06/19/02, 103.50, 104.43, 102.24, 102.52, 21541400
06/18/02, 103.74, 105.03, 103.631, 104.97, 21775100
06/17/02, 101.921, 104.34, 101.85, 104.12, 17648500
06/14/02, 100.31, 101.56, 98.50, 101.40, 39267500
06/13/02, 102.13, 103.00, 101.34, 101.55, 21050900
06/12/02, 101.71, 102.81, 100.78, 102.58, 31268301
06/11/02, 104.131, 104.54, 101.73, 101.96, 19990801
06/10/02, 103.243, 104.46, 103.02, 103.74, 18760199
06/07/02, 101.789, 103.92, 101.72, 103.34, 24011600
06/06/02, 105.543, 105.60, 103.15, 103.46, 23364699
06/05/02, 104.95, 105.67, 104.35, 105.61, 19718301
06/04/02, 104.15, 105.20, 103.55, 104.63, 25859801
06/03/02, 107.09, 107.60, 104.13, 104.37, 26073900
05/31/02, 107.40, 108.56, 106.85, 107.22, 19826301
05/30/02, 106.551, 107.51, 105.90, 107.00, 18218100
05/29/02, 107.629, 108.02, 107.13, 107.30, 14779100
05/28/02, 109.05, 109.13, 107.45, 108.10, 24237100
05/24/02, 109.98, 110.20, 108.61, 108.69, 11875900
05/23/02, 109.261, 110.36, 108.48, 110.10, 13880200
05/22/02, 108.22, 109.12, 108.00, 108.94, 15844300
05/21/02, 110.11, 110.487, 108.32, 108.70, 16877301
05/20/02, 110.64, 110.69, 109.492, 109.70, 13833800
05/17/02, 110.66, 111.25, 110.10, 110.90, 27823699
05/16/02, 109.70, 110.48, 109.33, 110.36, 28095000
05/15/02, 109.50, 110.91, 109.29, 109.79, 29537801
05/14/02, 109.62, 110.37, 109.00, 110.22, 34212301
05/13/02, 106.22, 107.95, 105.799, 107.87, 14686900
05/10/02, 107.97, 108.05, 105.60, 105.72, 18959500
05/09/02, 108.65, 109.10, 107.58, 107.75, 18087000
05/08/02, 107.053, 109.36, 106.79, 109.01, 27918500
05/07/02, 106.1094, 106.322, 104.90, 105.10, 21921199
05/06/02, 107.647, 107.998, 105.31, 105.47, 23636000
05/03/02, 108.60, 108.76, 107.20, 107.58, 18186000
05/02/02, 109.10, 109.91, 107.78, 108.76, 15667300
05/01/02, 107.97, 109.25, 106.80, 109.18, 24580500
04/30/02, 107.02, 108.64, 106.64, 107.86, 19474500
04/29/02, 107.931, 108.26, 106.63, 106.86, 17725000
04/26/02, 109.79, 110.01, 107.29, 107.39, 19769900
04/25/02, 109.21, 109.741, 108.72, 109.47, 25455500
04/24/02, 110.56, 111.81, 109.40, 109.41, 18903301
04/23/02, 111.09, 111.48, 110.17, 110.52, 16968600
04/22/02, 112.38, 112.43, 110.84, 111.00, 13923300
04/19/02, 113.20, 113.24, 112.56, 112.88, 10602500
04/18/02, 112.90, 113.46, 111.15, 112.47, 25211000
04/17/02, 113.39, 113.67, 112.60, 112.96, 12920400
04/16/02, 111.702, 113.32, 111.67, 113.20, 15097000
04/15/02, 111.62, 111.86, 110.20, 110.57, 17402900
04/12/02, 111.029, 111.65, 110.04, 111.42, 14950600
04/11/02, 112.893, 113.052, 110.50, 110.59, 25459100
04/10/02, 112.101, 113.54, 112.092, 113.41, 17204100
04/09/02, 113.189, 113.189, 111.93, 112.14, 15122700
04/08/02, 111.32, 113.03, 111.23, 112.93, 16471100
04/05/02, 113.19, 113.63, 112.18, 112.69, 19404900
04/04/02, 112.60, 113.40, 112.23, 112.67, 23561000
04/03/02, 114.011, 114.217, 112.16, 113.14, 25660699
04/02/02, 113.98, 114.95, 113.77, 113.94, 15594500
04/01/02, 114.23, 115.10, 113.50, 114.57, 17711801
03/28/02, 114.97, 115.77, 114.50, 114.52, 17535900
03/27/02, 114.033, 115.01, 113.76, 114.57, 19020500
03/26/02, 113.521, 115.02, 113.47, 114.27, 19948600
03/25/02, 115.091, 115.36, 113.30, 113.61, 17499600
03/22/02, 115.50, 115.94, 114.70, 115.04, 15235400
03/21/02, 115.30, 115.83, 114.12, 115.29, 26886699
03/20/02, 116.50, 116.58, 115.19, 115.24, 17115000
03/19/02, 117.301, 117.74, 116.82, 117.45, 17913000
03/18/02, 117.10, 117.567, 116.10, 116.67, 17557500
